
Activity Name: RopeSkipping/whc
Left,Front
2014-09-29 10:34:53
x	y	z
-1.5184	1.0576	0.8517
-0.8952	1.3503	-0.2965
-0.5203	1.8423	-1.2077
-1.1577	1.7403	-1.1728
-0.9037	0.9896	-0.2795
0.1945	0.3012	0.3787
0.4561	-0.4164	0.3229
0.2323	-0.3173	0.7082
-0.1379	-0.2304	0.8678
-0.9660	0.4108	0.9736
-1.9339	1.1483	1.1360
-1.6110	0.9518	1.0803
-1.3371	1.6468	0.0680
-0.3163	1.9330	-0.2049
-0.8423	1.9330	-0.5307
-0.8829	1.4079	-0.2965
-0.0548	0.5552	0.4013
0.2200	-0.0755	0.2625
-0.0113	-0.2049	0.5127
0.1624	-0.3390	0.8225
-0.6431	0.2021	0.6676
-1.8499	0.6497	1.1171
-1.9339	1.5477	0.8083
-1.2247	1.6327	0.1501
-0.3409	1.9330	-0.5109
-0.3211	1.5184	-1.0387
-1.0246	1.4684	-0.7611
-0.4570	0.8593	-0.1907
0.2115	0.1813	0.2984
0.1473	-0.1275	0.3352
-0.0680	-0.0302	0.9178
-0.3598	-0.3409	0.8187
-1.3305	0.0236	0.8149
-1.9339	0.9433	1.1360
-1.6742	1.2823	0.5316
-0.6619	1.7252	-0.2115
-0.6204	1.9330	-0.8178
-1.2162	1.9330	-1.0085
-0.7139	1.3890	-0.2890
0.1048	0.7129	0.4457
0.1114	-0.0604	0.0963
-0.2162	-0.1331	0.4523
-0.2125	-0.2436	0.6025
-0.9556	0.0992	0.8310
-1.9339	0.7838	1.4618
-1.6695	1.0567	1.2021
-1.2578	1.8064	-0.1483
-0.5326	1.8244	-0.5940
-0.7337	1.4079	-0.9679
-0.5703	0.8640	-0.3890
0.0595	-0.1246	0.0368
0.1020	-0.7195	0.2200
-0.1426	-0.1001	0.6478
-0.7932	0.7158	0.9585
-1.0510	1.5921	1.0387
-0.8300	1.8008	0.9405
-0.1246	1.4731	0.6412
0.2927	1.0689	0.2729
0.2833	0.9471	0.0113
0.1086	0.8839	0.0482
